crawl	query_url	error
CC-MAIN-2008-2009	www.theroomz.org/ile.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2File.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/cannon.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fcannon.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/sciemka.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fsciemka.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/paper/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/about.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fabout.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	www.theroomz.org/Redirect.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2FRedirect.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/bonus.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fbonus.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/ile.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2File.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	www.theroomz.org/hof.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2Fhof.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/yoyo.pnq	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fyoyo.pnq&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/check.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fcheck.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/solutions.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fsolutions.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/sciemka.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fsciemka.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	www.theroomz.org/cannon.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2Fcannon.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/hof.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fhof.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/tescik.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Ftescik.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	www.theroomz.org/yoyo.pnq	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=www.theroomz.org%2Fyoyo.pnq&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/Redirect.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2FRedirect.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/rules.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Frules.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamward.home.pl/theroomz/check.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamward.home.pl%2Ftheroomz%2Fcheck.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/about.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fabout.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/rules.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Frules.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/solutions.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fsolutions.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/tescik.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Ftescik.swf&matchType=exact&output=json: <urlopen error timed out>')
